Combined_Key,date,cumulative,new,days
"Cook, Illinois, US",1/22/20,0,0,1
"Cook, Illinois, US",1/23/20,0,0,2
"Cook, Illinois, US",1/24/20,1,1,3
"Cook, Illinois, US",1/25/20,1,0,4
"Cook, Illinois, US",1/26/20,1,0,5
"Cook, Illinois, US",1/27/20,1,0,6
"Cook, Illinois, US",1/28/20,1,0,7
"Cook, Illinois, US",1/29/20,1,0,8
"Cook, Illinois, US",1/30/20,1,0,9
"Cook, Illinois, US",1/31/20,2,1,10
"Cook, Illinois, US",2/1/20,2,0,11
"Cook, Illinois, US",2/2/20,2,0,12
"Cook, Illinois, US",2/3/20,2,0,13
"Cook, Illinois, US",2/4/20,2,0,14
"Cook, Illinois, US",2/5/20,2,0,15
"Cook, Illinois, US",2/6/20,2,0,16
"Cook, Illinois, US",2/7/20,2,0,17
"Cook, Illinois, US",2/8/20,2,0,18
"Cook, Illinois, US",2/9/20,2,0,19
"Cook, Illinois, US",2/10/20,2,0,20
"Cook, Illinois, US",2/11/20,2,0,21
"Cook, Illinois, US",2/12/20,2,0,22
"Cook, Illinois, US",2/13/20,2,0,23
"Cook, Illinois, US",2/14/20,2,0,24
"Cook, Illinois, US",2/15/20,2,0,25
"Cook, Illinois, US",2/16/20,2,0,26
"Cook, Illinois, US",2/17/20,2,0,27
"Cook, Illinois, US",2/18/20,2,0,28
"Cook, Illinois, US",2/19/20,2,0,29
"Cook, Illinois, US",2/20/20,2,0,30
"Cook, Illinois, US",2/21/20,2,0,31
"Cook, Illinois, US",2/22/20,2,0,32
"Cook, Illinois, US",2/23/20,2,0,33
"Cook, Illinois, US",2/24/20,2,0,34
"Cook, Illinois, US",2/25/20,2,0,35
"Cook, Illinois, US",2/26/20,2,0,36
"Cook, Illinois, US",2/27/20,2,0,37
"Cook, Illinois, US",2/28/20,2,0,38
"Cook, Illinois, US",2/29/20,2,0,39
"Cook, Illinois, US",3/1/20,3,1,40
"Cook, Illinois, US",3/2/20,4,1,41
"Cook, Illinois, US",3/3/20,4,0,42
"Cook, Illinois, US",3/4/20,4,0,43
"Cook, Illinois, US",3/5/20,5,1,44
"Cook, Illinois, US",3/6/20,5,0,45
"Cook, Illinois, US",3/7/20,6,1,46
"Cook, Illinois, US",3/8/20,7,1,47
"Cook, Illinois, US",3/9/20,7,0,48
"Cook, Illinois, US",3/10/20,11,4,49
"Cook, Illinois, US",3/11/20,22,11,50
"Cook, Illinois, US",3/12/20,27,5,51
"Cook, Illinois, US",3/13/20,40,13,52
"Cook, Illinois, US",3/14/20,50,10,53
"Cook, Illinois, US",3/15/20,50,0,54
"Cook, Illinois, US",3/16/20,62,12,55
"Cook, Illinois, US",3/17/20,107,45,56
"Cook, Illinois, US",3/18/20,178,71,57
"Cook, Illinois, US",3/19/20,278,100,58
"Cook, Illinois, US",3/20/20,278,0,59
"Cook, Illinois, US",3/21/20,548,270,60
"Cook, Illinois, US",3/22/20,805,257,61
"Cook, Illinois, US",3/23/20,922,117,62
"Cook, Illinois, US",3/24/20,1194,272,63
"Cook, Illinois, US",3/25/20,1418,224,64
"Cook, Illinois, US",3/26/20,1418,0,65
"Cook, Illinois, US",3/27/20,2239,821,66
"Cook, Illinois, US",3/28/20,2613,374,67
"Cook, Illinois, US",3/29/20,3445,832,68
"Cook, Illinois, US",3/30/20,3727,282,69
"Cook, Illinois, US",3/31/20,4496,769,70
"Cook, Illinois, US",4/1/20,5152,656,71
"Cook, Illinois, US",4/2/20,5575,423,72
"Cook, Illinois, US",4/3/20,6111,536,73
"Cook, Illinois, US",4/4/20,7439,1328,74
"Cook, Illinois, US",4/5/20,8034,595,75
"Cook, Illinois, US",4/6/20,8728,694,76
"Cook, Illinois, US",4/7/20,9509,781,77
"Cook, Illinois, US",4/8/20,10520,1011,78
"Cook, Illinois, US",4/9/20,11415,895,79
"Cook, Illinois, US",4/10/20,12472,1057,80
"Cook, Illinois, US",4/11/20,13417,945,81
"Cook, Illinois, US",4/12/20,14585,1168,82
"Cook, Illinois, US",4/13/20,15474,889,83
"Cook, Illinois, US",4/14/20,16323,849,84
"Cook, Illinois, US",4/15/20,17306,983,85
"Cook, Illinois, US",4/16/20,18087,781,86
"Cook, Illinois, US",4/17/20,19391,1304,87
"Cook, Illinois, US",4/18/20,20395,1004,88
"Cook, Illinois, US",4/19/20,21272,877,89
"Cook, Illinois, US",4/20/20,22101,829,90
"Cook, Illinois, US",4/21/20,23181,1080,91
"Cook, Illinois, US",4/22/20,24546,1365,92
"Cook, Illinois, US",4/23/20,25811,1265,93
"Cook, Illinois, US",4/24/20,27616,1805,94
"Cook, Illinois, US",4/25/20,29058,1442,95
"Cook, Illinois, US",4/26/20,30574,1516,96
"Cook, Illinois, US",4/27/20,31953,1379,97
"Cook, Illinois, US",4/28/20,33449,1496,98
"Cook, Illinois, US",4/29/20,34880,1431,99
"Cook, Illinois, US",4/30/20,36513,1633,100
"Cook, Illinois, US",5/1/20,38668,2155,101
"Cook, Illinois, US",5/2/20,40227,1559,102
"Cook, Illinois, US",5/3/20,42324,2097,103
"Cook, Illinois, US",5/4/20,43715,1391,104
"Cook, Illinois, US",5/5/20,45223,1508,105
"Cook, Illinois, US",5/6/20,46689,1466,106
"Cook, Illinois, US",5/7/20,48341,1652,107
"Cook, Illinois, US",5/8/20,50236,1895,108
"Cook, Illinois, US",5/9/20,51674,1438,109
"Cook, Illinois, US",5/10/20,52655,981,110
"Cook, Illinois, US",5/11/20,53381,726,111
"Cook, Illinois, US",5/12/20,55470,2089,112
"Cook, Illinois, US",5/13/20,56406,936,113
"Cook, Illinois, US",5/14/20,58457,2051,114
"Cook, Illinois, US",5/15/20,59905,1448,115
"Cook, Illinois, US",5/16/20,61212,1307,116
"Cook, Illinois, US",5/17/20,62218,1006,117
"Cook, Illinois, US",5/18/20,63690,1472,118
"Cook, Illinois, US",5/19/20,64691,1001,119
"Cook, Illinois, US",5/20/20,66213,1522,120
"Cook, Illinois, US",5/21/20,67551,1338,121
"Cook, Illinois, US",5/22/20,68949,1398,122
"Cook, Illinois, US",5/23/20,70417,1468,123
"Cook, Illinois, US",5/24/20,72010,1593,124
"Cook, Illinois, US",5/25/20,73097,1087,125
"Cook, Illinois, US",5/26/20,73819,722,126
"Cook, Illinois, US",5/27/20,74521,702,127
"Cook, Illinois, US",5/28/20,75306,785,128
"Cook, Illinois, US",5/29/20,76266,960,129
"Cook, Illinois, US",5/30/20,77119,853,130
"Cook, Illinois, US",5/31/20,77925,806,131
"Cook, Illinois, US",6/1/20,78495,570,132
"Cook, Illinois, US",6/2/20,79673,1178,133
"Cook, Illinois, US",6/3/20,80204,531,134
"Cook, Illinois, US",6/4/20,80713,509,135
"Cook, Illinois, US",6/5/20,81344,631,136
"Cook, Illinois, US",6/6/20,81924,580,137
"Cook, Illinois, US",6/7/20,82427,503,138
"Cook, Illinois, US",6/8/20,82819,392,139
"Cook, Illinois, US",6/9/20,83271,452,140
"Cook, Illinois, US",6/10/20,83585,314,141
"Cook, Illinois, US",6/11/20,83978,393,142
"Cook, Illinois, US",6/12/20,84249,271,143
"Cook, Illinois, US",6/13/20,84581,332,144
"Cook, Illinois, US",6/14/20,84906,325,145
"Cook, Illinois, US",6/15/20,85184,278,146
"Cook, Illinois, US",6/16/20,85538,354,147
"Cook, Illinois, US",6/17/20,85858,320,148
"Cook, Illinois, US",6/18/20,86179,321,149
"Cook, Illinois, US",6/19/20,86551,372,150
"Cook, Illinois, US",6/20/20,86885,334,151
"Cook, Illinois, US",6/21/20,87177,292,152
"Cook, Illinois, US",6/22/20,87424,247,153
"Cook, Illinois, US",6/23/20,87784,360,154
"Cook, Illinois, US",6/24/20,88138,354,155
"Cook, Illinois, US",6/25/20,88650,512,156
"Cook, Illinois, US",6/26/20,89068,418,157
"Cook, Illinois, US",6/27/20,89407,339,158
"Cook, Illinois, US",6/28/20,89755,348,159
"Cook, Illinois, US",6/29/20,90122,367,160
"Cook, Illinois, US",6/30/20,90536,414,161
"Cook, Illinois, US",7/1/20,90911,375,162
