gait,standing,sitting
-0.000800,-0.000800,0.004500
-0.000800,0.000700,0.002200
-0.003000,0.000000,0.000000
-0.002300,-0.001500,0.001500
-0.001500,0.001500,0.000000
-0.001500,0.004500,-0.001500
-0.001500,0.004500,-0.001500
-0.003000,0.004500,0.001500
-0.000800,0.002200,0.002200
-0.001500,0.003000,0.001500
-0.003800,0.005200,0.000700
-0.004600,0.003700,-0.001500
-0.005300,0.003000,0.000700
-0.003000,0.002200,0.001500
-0.002300,0.003000,0.003700
-0.001500,-0.000800,0.006000
-0.000800,0.000000,0.007500
0.000000,0.000700,0.006000
0.000700,0.001500,0.003000
0.002200,0.000700,0.003000
0.001500,-0.002300,0.003700
-0.001500,-0.003800,0.004500
-0.003000,-0.003800,0.003000
-0.004600,-0.002300,0.003700
-0.004600,-0.001500,0.003000
-0.005300,-0.001500,0.003000
-0.005300,-0.002300,0.004500
-0.005300,-0.003800,0.004500
-0.003800,-0.002300,0.004500
-0.001500,-0.000800,0.003700
-0.001500,-0.000800,0.000700
-0.001500,-0.000800,-0.000800
-0.001500,-0.000800,-0.000800
0.000700,-0.002300,-0.000800
0.002200,-0.003000,-0.000800
0.002200,-0.000800,-0.001500
0.001500,-0.000800,-0.001500
0.001500,-0.000800,-0.002300
0.000000,0.000700,-0.001500
-0.000800,0.001500,-0.003000
0.000700,0.003700,-0.003000
0.003000,0.001500,-0.003000
0.000700,0.000700,-0.003000
0.000700,0.003000,-0.000800
-0.000800,0.006700,-0.001500
-0.000800,0.005200,-0.003800
0.003000,0.002200,-0.003800
0.006000,0.000700,-0.002300
0.005200,0.001500,-0.001500
0.002200,0.004500,-0.000800
0.002200,0.003000,0.000700
0.001500,0.003700,0.001500
0.003000,0.005200,0.001500
0.006000,0.006700,0.001500
0.004500,0.005200,-0.000800
0.003000,0.004500,0.000700
0.004500,0.003700,0.002200
0.005200,0.001500,0.001500
0.003700,0.001500,0.003000
0.003000,0.001500,0.003000
0.003000,-0.000800,0.003000
0.000700,-0.001500,0.000700
0.000700,-0.002300,-0.001500
0.000000,-0.003000,-0.002300
0.000000,-0.002300,-0.003800
-0.000800,-0.000800,-0.001500
-0.000800,-0.001500,-0.000800
0.000700,-0.003000,-0.000800
0.001500,-0.005300,-0.003000
0.002200,-0.006000,-0.001500
0.001500,-0.005300,-0.000800
0.001500,-0.005300,-0.002300
0.003000,-0.006800,-0.000800
0.001500,-0.005300,-0.000800
0.000000,-0.003000,-0.001500
0.001500,-0.001500,-0.000800
0.001500,0.000700,-0.001500
0.000700,0.002200,-0.004600
0.000700,0.002200,-0.005300
0.001500,0.002200,-0.003000
0.000700,0.002200,-0.002300
-0.003000,0.000700,0.000700
-0.006000,-0.000800,0.001500
-0.006800,0.000700,0.000700
-0.006800,0.000700,0.001500
-0.005300,0.000700,0.002200
-0.002300,0.000700,0.002200
0.000700,-0.000800,0.002200
0.000700,-0.000800,0.002200
-0.000800,0.001500,0.001500
-0.001500,0.000700,0.002200
-0.000800,0.003000,0.004500
0.000000,0.004500,0.005200
-0.001500,0.002200,0.005200
-0.000800,0.001500,0.003700
0.000700,0.001500,0.000700
-0.001500,0.001500,0.000000
